Date,Food,Category
2025-04-09,Grape,Fruit
2025-04-09,Tomato,Vegetables
2025-04-10,Coffee,Other
2025-04-10,Brazil Nut,Other
2025-04-10,Chocolate,Other
2025-04-10,Mango,Fruit
2025-04-10,Avocado,Fruit
2025-04-11,Coffee,Other
2025-04-11,Pistachio,Other
2025-04-11,Chocolate,Other
2025-04-11,Excluded,
2025-04-12,Mushroom,Vegetables
2025-04-12,Coffee,Other
2025-04-12,Apple,Fruit
2025-04-12,Melon,Fruit
2025-04-12,Pinto Beans,Other
2025-04-12,Onion,Vegetables
2025-04-12,Rice,Other
2025-04-12,Avocado,Fruit
2025-04-12,Pepper,Vegetables
2025-04-12,Pepper,Vegetables
2025-04-13,Pinto Beans,Other
2025-04-13,Pepper,Vegetables
2025-04-13,Avocado,Fruit
2025-04-13,Coffee,Other
2025-04-13,Potato,Vegetables
2025-04-13,Carrot,Vegetables
2025-04-13,Parsnip,Vegetables
2025-04-13,Cabbage,Vegetables
2025-04-13,Oats,Other
2025-04-13,Excluded,
2025-04-14,Coffee,Other
2025-04-14,Tomato,Vegetables
2025-04-15,Oats,Other
2025-04-15,Pumpkin Seed,Other
2025-04-15,Blueberries,Fruit
2025-04-15,Blackberries,Fruit
2025-04-15,Raspberries,Fruit
2025-04-15,Peanut,Other
2025-04-15,Coffee,Other
2025-04-15,Excluded,
2025-04-15,Almond,Other
2025-04-15,Chocolate,Other
2025-04-16,Coffee,Other
2025-04-16,Banana,Fruit
2025-04-16,Excluded,
2025-04-17,Hazelnut,Other
2025-04-17,Chocolate,Other
2025-04-17,Coffee,Other
2025-04-17,Strawberries,Fruit
2025-04-17,Sunflower Seed,Other
2025-04-17,Walnut,Other
2025-04-17,Oats,Other
2025-04-17,Cranberries,Fruit
2025-04-17,Excluded,
2025-04-17,Oats,Other
2025-04-17,Brazil Nut,Other
2025-04-17,Chocolate,Other
2025-04-18,Coffee,Other
2025-04-18,Avocado,Fruit
2025-04-18,Haricot Bean,Other
2025-04-18,Mushroom,Vegetables
2025-04-18,Mango,Fruit
2025-04-18,Grape,Fruit
2025-04-18,Pistachio,Other
2025-04-18,Chocolate,Other
2025-04-18,Excluded,
2025-04-18,Tomato,Vegetables
2025-04-19,Coffee,Other
2025-04-19,Onion,Vegetables
2025-04-20,Coffee,Other
2025-04-20,Apple,Fruit
2025-04-20,Popcorn,Other
2025-04-20,Parsnip,Vegetables
2025-04-20,Carrot,Vegetables
2025-04-20,Potato,Vegetables
2025-04-20,Excluded,
2025-04-21,Excluded,
2025-04-21,Coffee,Other
2025-04-21,Oats,Other
2025-04-21,Peanut,Other
2025-04-21,Blackberries,Fruit
2025-04-21,Blueberries,Fruit
2025-04-21,Pumpkin Seed,Other
2025-04-21,Excluded,
2025-04-22,Coffee,Other
2025-04-22,Almond,Other
2025-04-22,Chocolate,Other
2025-04-22,Rice,Other
2025-04-22,Lentils,Other
2025-04-22,Excluded,
2025-04-23,Oats,Other
2025-04-23,Strawberries,Fruit
2025-04-23,Banana,Fruit
2025-04-23,Raspberries,Fruit
2025-04-23,Cranberries,Fruit
2025-04-23,Sunflower Seed,Other
2025-04-23,Chocolate,Other
2025-04-23,Brazil Nut,Other
2025-04-23,Coffee,Other
2025-04-23,Avocado,Fruit
2025-04-24,Coffee,Other
2025-04-24,Excluded,
2025-04-25,Coffee,Other
2025-04-25,Haricot Bean,Other
2025-04-25,Mushroom,Vegetables
2025-04-25,Hazelnut,Other
2025-04-25,Chocolate,Other
2025-04-25,Pear,Fruit
2025-04-25,Walnut,Other
2025-04-25,Chocolate,Other
2025-04-25,Rice,Other
2025-04-25,Excluded,
2025-04-25,Kimchi,Other
2025-04-26,Coffee,Other
2025-04-26,Banana,Fruit
2025-04-26,Rice,Other
2025-04-26,Kidney Bean,Other
2025-04-26,Pinto Beans,Other
2025-04-27,Banana,Fruit
2025-04-27,Coffee,Other
2025-04-27,Grape,Fruit
2025-04-27,Pistachio,Other
2025-04-27,Chocolate,Other
2025-04-27,Popcorn,Other
2025-04-27,Rice,Other
2025-04-27,Excluded,
2025-04-28,Coffee,Other
2025-04-28,Blackberries,Fruit
2025-04-28,Blueberries,Fruit
2025-04-28,Flaxseed,Other
2025-04-28,Pumpkin Seed,Other
2025-04-28,Lentils,Other
2025-04-28,Rice,Other
2025-04-28,Excluded,
2025-04-29,Coffee,Other
2025-04-29,Chocolate,Other
2025-04-29,Excluded,
2025-04-30,Chocolate,Other
2025-04-30,Coffee,Other
2025-05-01,Apple,Fruit
2025-05-01,Coffee,Other
2025-05-01,Oats,Other
2025-05-01,Blueberries,Fruit
2025-05-01,Raspberries,Fruit
2025-05-01,Cranberries,Fruit
2025-05-01,Peanut,Other
2025-05-01,Sunflower Seed,Other
2025-05-01,Pepper,Vegetables
2025-05-01,Onion,Vegetables
2025-05-01,Chocolate,Other
2025-05-01,Brazil Nut,Other
2025-05-02,Chocolate,Other
2025-05-02,Almond,Other
2025-05-02,Hazelnut,Other
2025-05-02,Coffee,Other
2025-05-02,Haricot Bean,Other
2025-05-02,Excluded,
2025-05-03,Coffee,Other
2025-05-03,Strawberries,Fruit
2025-05-03,Mango,Fruit
2025-05-03,Tomato,Vegetables
2025-05-03,Chocolate,Other
2025-05-04,Excluded,
2025-05-04,Avocado,Fruit
2025-05-04,Coffee,Other
2025-05-04,Hazelnut,Other
2025-05-05,Pistachio,Other
2025-05-05,Chocolate,Other
2025-05-05,Coffee,Other
2025-05-05,Excluded,
2025-05-05,Excluded,
2025-05-06,Banana,Fruit
2025-05-06,Almond,Other
2025-05-06,Walnut,Other
2025-05-06,Coffee,Other
2025-05-06,Pumpkin Seed,Other
2025-05-06,Flaxseed,Other
2025-05-06,Blackberries,Fruit
2025-05-06,Grape,Fruit
2025-05-06,Melon,Fruit
2025-05-06,Popcorn,Other
2025-05-06,Rice,Other
2025-05-06,Carrot,Vegetables
2025-05-06,Peanut,Other
2025-05-07,Oats,Other
2025-05-07,Blueberries,Fruit
2025-05-07,Raspberries,Fruit
2025-05-07,Cranberries,Fruit
2025-05-07,Sunflower Seed,Other
2025-05-07,Peanut,Other
2025-05-07,Coffee,Other
2025-05-07,Mushroom,Vegetables
2025-05-07,Almond,Other
2025-05-08,Oats,Other
2025-05-08,Strawberries,Fruit
2025-05-08,Coffee,Other
2025-05-08,Almond,Other
2025-05-08,Brazil Nut,Other
2025-05-09,Coffee,Other
2025-05-09,Avocado,Fruit
2025-05-09,Rice,Other
2025-05-09,Avocado,Fruit
2025-05-09,Edamame,Other
2025-05-09,Cabbage,Vegetables
2025-05-09,Excluded,
2025-05-10,Coffee,Other
2025-05-10,Haricot Bean,Other
2025-05-10,Excluded,
2025-05-10,Almond,Other
2025-05-11,Coffee,Other
2025-05-12,Potato,Vegetables
2025-05-13,Coffee,Other
2025-05-13,Blackberries,Fruit
2025-05-13,Raspberries,Fruit
2025-05-13,Rice,Other
2025-05-13,Pumpkin Seed,Other
2025-05-14,Banana,Fruit
2025-05-14,Oats,Other
2025-05-14,Peanut,Other
2025-05-14,Sunflower Seed,Other
2025-05-14,Cherries,Fruit
2025-05-15,Rice,Other
2025-05-16,Brazil Nut,Other
2025-05-16,Watermelon,Fruit
2025-05-16,Chocolate,Other
2025-05-16,Walnut,Other
2025-05-16,Excluded,
2025-05-16,Chocolate,Other
2025-05-16,Pistachio,Other
2025-05-17,Banana,Fruit
2025-05-17,Avocado,Fruit
2025-05-17,Mushroom,Vegetables
2025-05-17,Coffee,Other
2025-05-17,Strawberries,Fruit
2025-05-17,Flaxseed,Other
2025-05-17,Almond,Other
2025-05-17,Potato,Vegetables
2025-05-17,Cabbage,Vegetables
2025-05-18,Coffee,Other
2025-05-18,Apple,Fruit
2025-05-18,Melon,Fruit
2025-05-19,Banana,Fruit
2025-05-19,Oats,Other
2025-05-19,Coffee,Other
2025-05-19,Blueberries,Fruit
2025-05-19,Rice,Other
2025-05-19,Excluded,
2025-05-19,Pepper,Vegetables
2025-05-20,Apple,Fruit
2025-05-20,Coffee,Other
2025-05-20,Oats,Other
2025-05-20,Kiwi,Fruit
2025-05-20,Excluded,
2025-05-20,Brazil Nut,Other
2025-05-21,Almond,Other
2025-05-21,Cucumber,Vegetables
2025-05-21,Coffee,Other
2025-05-21,Grape,Fruit
2025-05-21,Excluded,
2025-05-21,Brazil Nut,Other
2025-05-22,Brazil Nut,Other
2025-05-22,Coffee,Other
2025-05-22,Chocolate,Other
2025-05-22,Almond,Other
2025-05-22,Excluded,
2025-05-22,Coconut,Other
2025-05-23,Almond,Other
2025-05-23,Coffee,Other
2025-05-23,Rice,Other
2025-05-23,Excluded,
2025-05-24,Onion,Vegetables
2025-05-24,Mushroom,Vegetables
2025-05-24,Coffee,Other
2025-05-24,Excluded,
2025-05-24,Sweet Potato,Vegetables
2025-05-25,Mushroom,Vegetables
2025-05-25,Onion,Vegetables
2025-05-25,Coffee,Other
2025-05-25,Banana,Fruit
2025-05-25,Almond,Other
2025-05-25,Broccoli,Vegetables
2025-05-26,Coffee,Other
2025-05-26,Oats,Other
2025-05-26,Peanut,Other
2025-05-26,Pumpkin Seed,Other
2025-05-26,Strawberries,Fruit
2025-05-26,Blackberries,Fruit
2025-05-26,Cherries,Fruit
2025-05-26,Grapefruit,Fruit
2025-05-26,Pistachio,Other
2025-05-26,Excluded,
2025-05-26,Broccoli,Vegetables
2025-05-27,Mushroom,Vegetables
2025-05-27,Onion,Vegetables
2025-05-27,Coffee,Other
2025-05-27,Oats,Other
2025-05-27,Raspberries,Fruit
2025-05-27,Hazelnut,Other
2025-05-27,Sunflower Seed,Other
2025-05-27,Rice,Other
2025-05-27,Edamame,Other
2025-05-27,Pepper,Vegetables
2025-05-27,Popcorn,Other
2025-05-27,Walnut,Other
2025-05-27,Chocolate,Other
2025-05-28,Excluded,
2025-05-28,Coffee,Other
2025-05-28,Chocolate,Other
2025-05-28,Rice,Other
2025-05-28,Avocado,Fruit
2025-05-29,Coffee,Other
2025-05-30,Coffee,Other
2025-05-30,Avocado,Fruit
2025-05-30,Excluded,
2025-05-31,Almond,Other
2025-05-31,Coffee,Other
2025-05-31,Mango,Fruit
2025-05-31,Hazelnut,Other
2025-05-31,Sweet Potato,Vegetables
2025-06-01,Coffee,Other
2025-06-01,Rice,Other
2025-06-01,Excluded,
2025-06-01,Tomato,Vegetables
2025-06-02,Blueberries,Fruit
2025-06-02,Blackberries,Fruit
2025-06-02,Strawberries,Fruit
2025-06-02,Cranberries,Fruit
2025-06-02,Pumpkin Seed,Other
2025-06-02,Peanut,Other
2025-06-02,Oats,Other
2025-06-02,Banana,Fruit
2025-06-02,Coffee,Other
2025-06-02,Brazil Nut,Other
2025-06-02,Chocolate,Other
2025-06-02,Sweet Potato,Vegetables
2025-06-03,Apple,Fruit
2025-06-03,Pistachio,Other
2025-06-03,Sunflower Seed,Other
2025-06-03,Flaxseed,Other
2025-06-03,Cherries,Fruit
2025-06-03,Grape,Fruit
2025-06-03,Walnut,Other
2025-06-03,Chocolate,Other
2025-06-03,Coffee,Other
2025-06-03,Nectarine,Fruit
2025-06-03,Mushroom,Vegetables
2025-06-03,Haricot Bean,Other
2025-06-03,Popcorn,Other
2025-06-03,Chocolate,Other
2025-06-04,Tomato,Vegetables
2025-06-04,Coffee,Other
2025-06-04,Avocado,Fruit
2025-06-04,Onion,Vegetables
2025-06-04,Chocolate,Other
2025-06-04,Hazelnut,Other
2025-06-05,Coffee,Other
2025-06-05,Excluded,
2025-06-05,Excluded,
2025-06-06,Raspberries,Fruit
2025-06-06,Coffee,Other
2025-06-06,Rice,Other
2025-06-07,Coffee,Other
2025-06-07,Carrot,Vegetables
2025-06-07,Rice,Other
2025-06-07,Tomato,Vegetables
2025-06-07,Rice,Other
2025-06-07,Cucumber,Vegetables
2025-06-08,Banana,Fruit
2025-06-08,Mushroom,Vegetables
2025-06-08,Coffee,Other
2025-06-08,Hazelnut,Other
2025-06-08,Almond,Other
2025-06-08,Chocolate,Other
2025-06-08,Excluded,
2025-06-09,Coffee,Other
2025-06-09,Oats,Other
2025-06-09,Peanut,Other
2025-06-09,Cranberries,Fruit
2025-06-09,Blackberries,Fruit
2025-06-09,Strawberries,Fruit
2025-06-09,Blueberries,Fruit
2025-06-09,Pumpkin Seed,Other
2025-06-09,Pepper,Vegetables
2025-06-09,Onion,Vegetables
2025-06-09,Broccoli,Vegetables
2025-06-09,Rice,Other
2025-06-10,Coffee,Other
2025-06-10,Haricot Bean,Other
2025-06-10,Flaxseed,Other
2025-06-10,Sunflower Seed,Other
2025-06-10,Cherries,Fruit
2025-06-10,Walnut,Other
2025-06-10,Excluded,
2025-06-10,Sweetcorn,Vegetables
2025-06-10,Broccoli,Vegetables
2025-06-10,Chocolate,Other
2025-06-10,Brazil Nut,Other
2025-06-10,Chocolate,Other
2025-06-10,Apple,Fruit
2025-06-11,Coffee,Other
2025-06-11,Chocolate,Other
2025-06-11,Pistachio,Other
2025-06-11,Pepper,Vegetables
2025-06-11,Onion,Vegetables
2025-06-11,Peanut,Other
2025-06-11,Rice,Other
2025-06-11,Chocolate,Other
2025-06-11,Hazelnut,Other
2025-06-12,Oats,Other
2025-06-12,Peanut,Other
2025-06-12,Cherries,Fruit
2025-06-12,Raspberries,Fruit
2025-06-12,Blackberries,Fruit
2025-06-12,Pumpkin Seed,Other
2025-06-12,Coffee,Other
2025-06-12,Potato,Vegetables
2025-06-13,Coffee,Other
2025-06-13,Excluded,
2025-06-13,Excluded,
2025-06-14,Melon,Fruit
2025-06-14,Coffee,Other
2025-06-14,Rice,Other
2025-06-14,Chickpea,Other
2025-06-14,Excluded,
2025-06-15,Chocolate,Other
2025-06-15,Coffee,Other
2025-06-15,Hazelnut,Other
2025-06-15,Flaxseed,Other
2025-06-15,Almond,Other
2025-06-15,Blueberries,Fruit
2025-06-15,Cherries,Fruit
2025-06-15,Sweet Potato,Vegetables
2025-06-15,Almond,Other
2025-06-16,Coffee,Other
2025-06-16,Oats,Other
2025-06-16,Sunflower Seed,Other
2025-06-16,Cherries,Fruit
2025-06-16,Strawberries,Fruit
2025-06-16,Banana,Fruit
2025-06-16,Almond,Other
2025-06-16,Brazil Nut,Other
2025-06-16,Potato,Vegetables
2025-06-16,Chickpea,Other
2025-06-16,Rice,Other
2025-06-16,Excluded,
2025-06-17,Coffee,Other
2025-06-17,Almond,Other
2025-06-17,Chocolate,Other
2025-06-18,Coffee,Other
2025-06-18,Grape,Fruit
2025-06-18,Kiwi,Fruit
2025-06-18,Watermelon,Fruit
2025-06-19,Mushroom,Vegetables
2025-06-19,Coffee,Other
2025-06-19,Avocado,Fruit
2025-06-19,Tomato,Vegetables
2025-06-20,Coffee,Other
2025-06-20,Oats,Other
2025-06-20,Peanut,Other
2025-06-20,Pumpkin Seed,Other
2025-06-20,Blackberries,Fruit
2025-06-20,Blueberries,Fruit
2025-06-20,Raspberries,Fruit
2025-06-20,Pepper,Vegetables
2025-06-20,Pinto Beans,Other
2025-06-21,Coffee,Other
2025-06-21,Pistachio,Other
2025-06-21,Grapefruit,Fruit
2025-06-21,Popcorn,Other
2025-06-21,Rice,Other
2025-06-22,Brazil Nut,Other
2025-06-22,Coffee,Other
2025-06-22,Cranberries,Fruit
2025-06-22,Banana,Fruit
2025-06-22,Chocolate,Other
2025-06-22,Chocolate,Other
2025-06-22,Onion,Vegetables
2025-06-23,Almond,Other
2025-06-23,Melon,Fruit
2025-06-23,Watermelon,Fruit
2025-06-23,Chocolate,Other
2025-06-23,Walnut,Other
2025-06-23,Coffee,Other
2025-06-23,Haricot Bean,Other
2025-06-23,Mango,Fruit
2025-06-23,Chocolate,Other
2025-06-23,Hazelnut,Other
2025-06-23,Potato,Vegetables
2025-06-23,Excluded,
2025-06-23,Excluded,
2025-06-24,Grape,Fruit
2025-06-24,Brazil Nut,Other
2025-06-24,Strawberries,Fruit
2025-06-24,Blueberries,Fruit
2025-06-24,Flaxseed,Other
2025-06-24,Sunflower Seed,Other
2025-06-24,Pepper,Vegetables
2025-06-24,Onion,Vegetables
2025-06-24,Pistachio,Other
2025-06-24,Chocolate,Other
2025-06-24,Chocolate,Other
2025-06-24,Excluded,
2025-06-25,Chocolate,Other
2025-06-25,Avocado,Fruit
2025-06-25,Excluded,
2025-06-26,Peanut,Other
2025-06-26,Blackberries,Fruit
2025-06-26,Oats,Other
2025-06-26,Raspberries,Fruit
2025-06-26,Pumpkin Seed,Other
2025-06-26,Cranberries,Fruit
2025-06-26,Chocolate,Other
2025-06-26,Potato,Vegetables
2025-06-26,Excluded,
2025-06-26,Tomato,Vegetables
2025-06-27,Kiwi,Fruit
2025-06-27,Pear,Fruit
2025-06-27,Pumpkin Seed,Other
2025-06-27,Green Beans,Vegetables
2025-06-27,Melon,Fruit
2025-06-27,Apple,Fruit
2025-06-27,Olive,Vegetables
2025-06-27,Nectarine,Fruit
2025-06-27,Carrot,Vegetables
2025-06-27,Lentils,Other
2025-06-28,Potato,Vegetables
2025-06-28,Excluded,
2025-06-28,Apple,Fruit
2025-06-28,Coffee,Other
2025-06-28,Aubergine,Vegetables
2025-06-28,Tomato,Vegetables
2025-06-28,Onion,Vegetables
2025-06-28,Orange,Fruit
2025-06-28,Cucumber,Vegetables
2025-06-28,Rice,Other
2025-06-29,Excluded,
2025-06-29,Potato,Vegetables
2025-06-29,Coffee,Other
2025-06-29,Mushroom,Vegetables
2025-06-29,Excluded,
2025-06-29,Tomato,Vegetables
2025-06-29,Excluded,
2025-06-29,Excluded,
2025-06-29,Sweet Potato,Vegetables
2025-06-30,Hazelnut,Other
2025-06-30,Haricot Bean,Other
2025-06-30,Coffee,Other
2025-06-30,Potato,Vegetables
2025-06-30,Walnut,Other
2025-06-30,Banana,Fruit
2025-06-30,Watermelon,Fruit
2025-06-30,Apple,Fruit
2025-06-30,Potato,Vegetables
2025-06-30,Apple,Fruit
2025-07-01,Almond,Other
2025-07-01,Coffee,Other
2025-07-01,Rice,Other
2025-07-01,Broccoli,Vegetables
2025-07-01,Kiwi,Fruit
2025-07-02,Potato,Vegetables
2025-07-02,Excluded,
2025-07-02,Grapefruit,Fruit
2025-07-02,Banana,Fruit
2025-07-02,Hazelnut,Other
2025-07-02,Sunflower Seed,Other
2025-07-02,Coffee,Other
2025-07-02,Banana,Fruit
2025-07-02,Melon,Fruit
2025-07-02,Watermelon,Fruit
2025-07-02,Pepper,Vegetables
2025-07-02,Cucumber,Vegetables
2025-07-02,Tomato,Vegetables
2025-07-02,Strawberries,Fruit
2025-07-03,Walnut,Other
2025-07-03,Coffee,Other
2025-07-03,Rice,Other
2025-07-03,Mushroom,Vegetables
2025-07-03,Apple,Fruit
2025-07-03,Pear,Fruit
2025-07-03,Nectarine,Fruit
2025-07-03,Tomato,Vegetables
2025-07-03,Cucumber,Vegetables
2025-07-03,Grape,Fruit
2025-07-03,Courgette,Vegetables
2025-07-03,Mushroom,Vegetables
2025-07-04,Pepper,Vegetables
2025-07-04,Coffee,Other
2025-07-04,Carrot,Vegetables
2025-07-04,Sweetcorn,Vegetables
2025-07-04,Excluded,
2025-07-04,Rice,Other
2025-07-05,Potato,Vegetables
2025-07-05,Excluded,
2025-07-05,Coffee,Other
2025-07-05,Cabbage,Vegetables
2025-07-05,Beetroot,Vegetables
2025-07-05,Excluded,
2025-07-05,Peas,Vegetables
2025-07-05,Spinach,Vegetables
2025-07-05,Cherries,Fruit
2025-07-06,Pepper,Vegetables
2025-07-06,Onion,Vegetables
2025-07-06,Walnut,Other
2025-07-06,Pumpkin Seed,Other
2025-07-06,Coffee,Other
2025-07-06,Carrot,Vegetables
2025-07-06,Cucumber,Vegetables
2025-07-06,Rice,Other
2025-07-06,Onion,Vegetables
2025-07-06,Kiwi,Fruit
2025-07-06,Watermelon,Fruit
2025-07-07,Haricot Bean,Other
2025-07-07,Coffee,Other
2025-07-07,Cabbage,Vegetables
2025-07-07,Cucumber,Vegetables
2025-07-07,Olive,Vegetables
2025-07-07,Excluded,
2025-07-07,Chocolate,Other
2025-07-07,Excluded,
2025-07-07,Rice,Other
2025-07-08,Oats,Other
2025-07-08,Flaxseed,Other
2025-07-08,Raspberries,Fruit
2025-07-08,Blueberries,Fruit
2025-07-08,Coffee,Other
2025-07-08,Onion,Vegetables
2025-07-08,Pepper,Vegetables
2025-07-08,Chocolate,Other
2025-07-08,Aubergine,Vegetables
2025-07-08,Potato,Vegetables
2025-07-09,Mushroom,Vegetables
2025-07-09,Apple,Fruit
2025-07-09,Coffee,Other
2025-07-09,Brazil Nut,Other
2025-07-09,Pistachio,Other
2025-07-09,Chocolate,Other
2025-07-09,Strawberries,Fruit
2025-07-09,Sunflower Seed,Other
2025-07-09,Almond,Other
2025-07-10,Spinach,Vegetables
2025-07-10,Banana,Fruit
2025-07-10,Coffee,Other
2025-07-10,Avocado,Fruit
2025-07-10,Tomato,Vegetables
2025-07-10,Broccoli,Vegetables
2025-07-10,Excluded,
2025-07-10,Excluded,
2025-07-10,Chocolate,Other
2025-07-10,Hazelnut,Other
2025-07-11,Coffee,Other
2025-07-11,Cherries,Fruit
2025-07-11,Blackberries,Fruit
2025-07-11,Cranberries,Fruit
2025-07-11,Pumpkin Seed,Other
2025-07-11,Apple,Fruit
2025-07-11,Oats,Other
2025-07-11,Peanut,Other
2025-07-11,Grape,Fruit
2025-07-12,Walnut,Other
2025-07-12,Coffee,Other
2025-07-12,Potato,Vegetables
2025-07-12,Excluded,
2025-07-13,Haricot Bean,Other
2025-07-13,Potato,Vegetables
2025-07-13,Coffee,Other
2025-07-13,Avocado,Fruit
2025-07-13,Rice,Other
2025-07-13,Edamame,Other
2025-07-13,Peanut,Other
2025-07-13,Excluded,
2025-07-14,Mango,Fruit
2025-07-14,Coconut,Other
2025-07-14,Coffee,Other
